gen,min,max,mean,median,std,time
280,-48886.0,135.0,-637.39,135.0,2460.38,9.918658018112183
281,-35379.0,135.0,-634.18,135.0,2447.21,10.03658938407898
282,-41886.0,135.0,-617.68,135.0,2414.3,9.888633489608765
283,-36870.0,135.0,-631.37,135.0,2446.9,10.306711912155151
284,-45899.0,135.0,-621.71,135.0,2434.72,9.967036724090576
285,-39383.0,135.0,-606.37,135.0,2385.0,9.922262907028198
286,-48392.0,135.0,-614.39,135.0,2424.22,9.918461322784424
287,-41883.0,135.0,-613.73,135.0,2421.71,10.173579216003418
288,-42885.0,135.0,-623.24,135.0,2421.58,9.942077875137329
289,-39877.0,135.0,-622.85,135.0,2450.69,9.790241479873657
290,-44381.0,135.0,-618.7,135.0,2428.46,10.118984699249268
291,-41887.0,135.0,-624.35,135.0,2463.04,9.946324348449707
292,-37386.0,135.0,-608.19,135.0,2408.74,9.985021114349365
293,-42883.0,135.0,-604.13,135.0,2413.45,10.086180686950684
294,-40390.0,135.0,-613.68,135.0,2423.22,9.787896871566772
295,-41377.0,135.0,-605.6,135.0,2406.44,10.05704951286316
296,-42374.0,135.0,-614.73,135.0,2421.66,9.929767370223999
297,-44388.0,135.0,-594.84,135.0,2376.07,10.12612509727478
298,-37378.0,135.0,-595.93,135.0,2374.51,9.925734758377075
299,-44895.0,135.0,-607.33,135.0,2413.91,9.973517179489136
